route_id,train_id,station_id,stop_number,distance_from_origin,scheduled_arrival,scheduled_departure,halt_duration
1,1,1,1,0,,17:00,0
2,1,2,2,30,17:22,17:24,2
3,1,3,3,253,19:43,19:48,5
4,1,4,4,383,21:06,21:16,10
5,1,5,5,644,00:10,00:13,3
6,1,6,6,911,03:15,03:25,10
7,1,7,7,1235,06:48,06:50,2
8,1,8,8,1379,08:32,,0
9,2,10,1,0,,10:10,0
10,2,2,2,354,12:00,12:10,10
11,2,8,3,425,14:00,14:10,10
12,2,6,4,679,16:00,16:10,10
13,2,4,5,927,18:00,,0
14,3,8,1,0,,10:10,0
15,3,11,2,307,12:00,12:10,10
16,3,5,3,567,14:00,14:10,10
17,3,10,4,645,16:00,16:10,10
18,3,9,5,744,18:00,,0
19,4,7,1,0,,10:10,0
20,4,2,2,447,12:00,12:10,10
21,4,4,3,562,14:00,14:10,10
22,4,8,4,765,16:00,16:10,10
23,4,11,5,980,18:00,,0
24,5,7,1,0,,10:10,0
25,5,10,2,452,12:00,12:10,10
26,5,12,3,599,14:00,14:10,10
27,5,8,4,890,16:00,16:10,10
28,5,6,5,951,18:00,,0
29,6,12,1,0,,10:10,0
30,6,13,2,399,12:00,12:10,10
31,6,15,3,474,14:00,14:10,10
32,6,2,4,655,16:00,16:10,10
33,6,1,5,795,18:00,,0
34,7,3,1,0,,10:10,0
35,7,2,2,394,12:00,12:10,10
36,7,8,3,556,14:00,14:10,10
37,7,13,4,688,16:00,16:10,10
38,7,9,5,943,18:00,,0
39,8,9,1,0,,10:10,0
40,8,5,2,415,12:00,12:10,10
41,8,14,3,608,14:00,14:10,10
42,8,11,4,684,16:00,16:10,10
43,8,1,5,971,18:00,,0
44,9,5,1,0,,10:10,0
45,9,9,2,288,12:00,12:10,10
46,9,10,3,583,14:00,14:10,10
47,9,8,4,707,16:00,16:10,10
48,9,11,5,775,18:00,,0
49,10,11,1,0,,10:10,0
50,10,9,2,491,12:00,12:10,10
51,10,2,3,558,14:00,14:10,10
52,10,6,4,629,16:00,16:10,10
53,10,10,5,822,18:00,,0
